hex9,value
89196969c63ffff,65
89196969c63ffff,110
89196969ea3ffff,115
89196969ea3ffff,95
89196969ea7ffff,30
89196969ea7ffff,130
89196969c6bffff,5
89196969eabffff,105
89196969ea3ffff,75
89196969ea3ffff,55
89196969ea3ffff,5
89196969eb7ffff,90
89196969c63ffff,165
89196969c77ffff,70
89196969c77ffff,135
89196969c77ffff,100
89196969c6bffff,60
89196969c6bffff,70
89196969c63ffff,125
89196969c63ffff,55
89196969c63ffff,100
89196969c77ffff,60
89196969c77ffff,95
89196969c77ffff,105
89196969c7bffff,125
89196969c7bffff,5
89196969c7bffff,70
89196969c63ffff,140
89196969c73ffff,45
89196969c73ffff,150
89196969c77ffff,115
89196969c77ffff,85
89196969eb7ffff,75
89196969c6bffff,140
89196969ea3ffff,40
89196969ea3ffff,55
89196969ea3ffff,80
89196969ea3ffff,80
89196969eb7ffff,45
89196969eb7ffff,115
89196969eb7ffff,65
89196969ebbffff,100
89196969ebbffff,90
89196969ea3ffff,80
89196969eb3ffff,115
89196969eb7ffff,55
89196969eb7ffff,90
89196969eb7ffff,60
89196969ebbffff,95
89196969ebbffff,60
89196969eb3ffff,55
89196969eb3ffff,65
89196969c7bffff,85
89196969c7bffff,65
89196969c7bffff,115
89196969c73ffff,95
89196969c73ffff,105
89196969c73ffff,80
89196969c73ffff,135
89196969c0fffff,110
89196969c4fffff,50
89196969c7bffff,65
89196969eb3ffff,110
89196969c4fffff,115
89196969c4fffff,80
89196969ebbffff,90
89196969ebbffff,130
89196969eb3ffff,45
89196969eb3ffff,75
89196969eb3ffff,55
89196969c4fffff,90
89196969c4fffff,80
89196969c7bffff,70
89196969c73ffff,95
89196969c73ffff,85
89196969c73ffff,35
89196969c73ffff,80
89196969c0fffff,70
89196969c4fffff,20
89196969c47ffff,35
89196969c47ffff,95
89196969c47ffff,95
89196969c73ffff,90
89196969c73ffff,55
89196969c0bffff,55
89196969c0fffff,105
89196969c4fffff,50
89196969c47ffff,55
89196969c47ffff,130
89196969c47ffff,100
89196969c47ffff,105
89196969c0bffff,90
89196969e87ffff,55
89196969e87ffff,35
89196969e87ffff,60
89196969eb3ffff,80
89196969c4bffff,115
89196969c4fffff,50
89196969c4fffff,100
89196969e87ffff,90
89196969e87ffff,80
89196969e87ffff,50
89196969c0bffff,40
89196969c0bffff,105
89196969c43ffff,90
89196969c47ffff,125
89196969c47ffff,110
89196969c47ffff,100
89196969c0bffff,130
89196969c0bffff,105
89196969c0bffff,105
89196969c43ffff,70
89196969c43ffff,55
89196969e97ffff,45
89196969e97ffff,50
89196969e97ffff,5
89196969c4bffff,75
89196969c4bffff,70
89196969c5bffff,150
89196969e97ffff,10
89196969e97ffff,55
89196969c5bffff,45
89196969c43ffff,70
89196969c57ffff,50
89196969c57ffff,40
89196969c57ffff,75
89196969c0bffff,90
89196969c1bffff,60
89196969c43ffff,25
89196969c1bffff,90
89196969c5bffff,170
89196969c53ffff,10
89196ba6d7bffff,15
89196ba6d7bffff,10
89196ba6d47ffff,10
89196ba6d4fffff,5
89196ba6d4fffff,15
89196ba6d47ffff,10
89196ba6d47ffff,20
89196ba6d47ffff,5
89196ba6d43ffff,25
89196ba6d43ffff,50
89196ba6d43ffff,70
89196ba6d57ffff,50
89196ba6d57ffff,50
89196ba6d5bffff,75
89196ba6d43ffff,125
89196ba6d53ffff,105
89196ba6d57ffff,90
89196ba6d57ffff,80
89196ba6d57ffff,15
89196ba6d5bffff,45
89196ba6d4bffff,10
89196ba6d4bffff,10
89196ba6887ffff,10
89196ba6d5bffff,115
89196ba6d5bffff,55
89196ba6d5bffff,65
89196ba6c27ffff,15
89196ba6c27ffff,40
89196ba6c23ffff,100
89196ba6c23ffff,40
89196ba6bb7ffff,5
89196ba6bb3ffff,5
89196ba694bffff,10
89196ba694fffff,15
89196ba694fffff,35
89196ba694bffff,65
89196ba680bffff,5
89196ba6183ffff,10
89196ba6567ffff,10
89196ba652bffff,5
89196ba6c23ffff,145
89196ba6c3bffff,15
89196ba6c33ffff,40
89196ba6c77ffff,5
89196ba6c3bffff,20
89196ba6c3bffff,45
89196ba6c33ffff,95
89196ba6c07ffff,50
89196ba6c07ffff,80
89196ba6c33ffff,80
89196ba6c07ffff,55
89196ba6c07ffff,70
89196ba6c07ffff,45
89196ba6c07ffff,25
89196ba6c07ffff,75
89196ba6c07ffff,20
89196ba6c03ffff,40
89196ba6c07ffff,70
89196ba6c03ffff,20
89196ba6ca7ffff,100
89196ba6ca7ffff,50
89196ba6cabffff,25
89196ba6cabffff,75
89196ba6cafffff,35
89196ba6cafffff,20
89196ba6ca7ffff,30
89196ba6ca7ffff,10
89196ba6cabffff,15
8919696928bffff,140
89196ba6c17ffff,50
89196ba6c17ffff,10
89196ba6c03ffff,15
89196ba6ccfffff,5
89196ba652fffff,5
89196ba652bffff,30
89196ba652bffff,60
89196ba6523ffff,70
89196ba6523ffff,95
89196ba6523ffff,45
89196ba6537ffff,90
89196ba6537ffff,125
89196ba6537ffff,65
891969692cbffff,105
891969692cbffff,70
89196ba652bffff,55
89196ba652bffff,85
89196ba6523ffff,40
89196ba6523ffff,90
89196ba6523ffff,60
89196ba6537ffff,10
89196ba6537ffff,125
89196ba6537ffff,95
89196ba6537ffff,105
891969692dbffff,85
89196ba653bffff,100
89196ba653bffff,70
89196ba653bffff,45
89196ba6523ffff,75
89196ba6533ffff,70
89196969e93ffff,55
89196969e93ffff,5
8919696912fffff,15
8919696912fffff,40
8919696912fffff,5
89196969127ffff,80
89196969167ffff,125
8919696912bffff,85
8919696912fffff,55
8919696912fffff,70
89196969167ffff,65
8919696916fffff,85
8919696916fffff,25
8919696916fffff,105
89196969167ffff,170
89196969167ffff,120
89196969167ffff,165
8919696916bffff,70
8919696916fffff,90
8919696916fffff,95
89196969127ffff,30
89196969167ffff,120
8919696912bffff,70
89196969123ffff,30
89196969123ffff,60
89196969123ffff,80
89196969177ffff,95
8919696912bffff,145
8919696912bffff,40
8919696912bffff,60
89196969167ffff,175
89196969167ffff,105
89196969167ffff,105
8919696916bffff,15
8919696916bffff,80
89196969163ffff,100
89196969163ffff,70
89196969163ffff,20
89196969167ffff,100
89196969163ffff,15
89196969e6bffff,65
89196969e6bffff,15
89196969e6bffff,20
89196969e4fffff,10
89196969e4fffff,15
89196969ecbffff,10
89196969ecbffff,5
89196969337ffff,10
8919696902bffff,45
891969693a7ffff,30
891969693a7ffff,90
891969693a7ffff,110
8919696916bffff,75
8919696916bffff,5
891969693a7ffff,100
891969693b7ffff,145
8919696916bffff,215
8919696916bffff,55
891969693b7ffff,65
89196969123ffff,65
89196969123ffff,40
89196969177ffff,5
89196969177ffff,135
8919696913bffff,155
8919696913bffff,135
8919696913bffff,10
89196969177ffff,130
89196969177ffff,75
8919696913bffff,90
89196969163ffff,225
89196969163ffff,115
89196969163ffff,120
89196969177ffff,80
8919696917bffff,55
89196969163ffff,155
89196969163ffff,160
89196969163ffff,80
89196969177ffff,45
8919696917bffff,60
891969693b7ffff,150
891969693b7ffff,100
891969693b7ffff,95
8919696917bffff,130
891969693a3ffff,50
891969693b7ffff,55
891969693b7ffff,145
891969693b7ffff,130
8919696917bffff,130
8919696917bffff,90
8919696913bffff,45
89196969177ffff,15
8919696910fffff,135
8919696913bffff,120
8919696913bffff,25
8919696910fffff,25
8919696910fffff,35
8919696910fffff,60
89196969107ffff,70
89196969107ffff,75
89196ba6dc3ffff,15
89196ba6dc3ffff,35
89196ba6dc3ffff,70
89196ba6c23ffff,30
89196ba6c37ffff,75
89196ba6c37ffff,95
89196ba6c37ffff,75
89196ba6dcbffff,15
89196ba6dc3ffff,15
89196ba6dc3ffff,30
89196ba6dc3ffff,95
89196ba6c37ffff,80
89196ba6c37ffff,85
89196ba6c37ffff,125
89196ba6c37ffff,75
89196ba6ddbffff,80
89196ba6ddbffff,20
89196ba6ddbffff,40
89196ba6dd3ffff,45
89196ba6dc7ffff,60
89196ba6dd7ffff,75
89196ba6dd7ffff,65
89196ba6dd7ffff,10
89196ba6dd7ffff,35
89196ba6dd7ffff,20
89196ba6dd3ffff,25
89196ba6dd7ffff,10
8919696936fffff,10
89196969367ffff,30
89196ba6dd3ffff,30
89196ba6c33ffff,30
89196ba6c37ffff,20
89196ba6c37ffff,40
89196ba6c37ffff,80
89196ba6ddbffff,130
89196ba6ddbffff,60
89196ba6ddbffff,55
89196ba6dd3ffff,30
89196ba6cafffff,85
89196ba6cafffff,65
89196ba6ddbffff,80
89196ba6ca7ffff,55
89196ba6dd3ffff,15
89196ba6dd3ffff,5
89196ba6c33ffff,55
89196ba6c33ffff,85
89196ba6cafffff,95
89196ba6cafffff,5
89196ba6cafffff,75
89196969363ffff,5
89196969367ffff,15
891969692a3ffff,5
891969692bbffff,40
891969692a3ffff,75
891969692a3ffff,80
891969692a3ffff,50
891969692b7ffff,5
891969692bbffff,15
891969692bbffff,35
8919696932bffff,20
891969692b7ffff,35
891969692b7ffff,35
8919696904fffff,70
8919696904fffff,135
8919696904fffff,80
8919696907bffff,70
89196969047ffff,5
8919696904fffff,120
8919696904fffff,105
891969692b3ffff,95
891969692b3ffff,80
891969692b7ffff,85
891969692bbffff,85
891969692bbffff,70
891969692b3ffff,105
891969692b3ffff,75
891969692b3ffff,70
89196969287ffff,25
89196969287ffff,140
8919696904fffff,40
89196969047ffff,150
89196969047ffff,130
89196969047ffff,90
8919696904bffff,200
8919696904fffff,180
8919696904fffff,55
89196969047ffff,75
89196969047ffff,75
89196969047ffff,70
891969692b3ffff,85
891969692b3ffff,25
891969692b3ffff,75
89196969287ffff,15
89196969287ffff,60
8919696904bffff,60
8919696904bffff,160
8919696928fffff,5
89196969283ffff,40
89196969287ffff,70
89196ba4d7bffff,5
89196ba4dc7ffff,5
89196ba4833ffff,5
89196ba4893ffff,5
89196ba4c2bffff,10
89196ba4e2bffff,5
89196ba4e3bffff,10
89196ba4e23ffff,5
89196ba4e63ffff,5
89196ba4adbffff,10
89196ba4adbffff,5
89196ba5d3bffff,10
89196ba5d33ffff,15
89196ba5d33ffff,10
89196ba5d37ffff,10
89196ba5dafffff,15
89196ba4a3bffff,5
89196ba4a77ffff,5
89196ba4ad7ffff,10
89196ba4307ffff,5
89196ba712fffff,15
89196ba4693ffff,45
89196ba4693ffff,20
89196ba5dafffff,5
89196ba5d83ffff,5
89196ba5d8bffff,10
89196ba5d8bffff,10
89196ba4363ffff,5
89196ba430bffff,5
89196ba42a7ffff,15
89196ba42b7ffff,10
89196ba404fffff,5
89196ba404bffff,5
891fa496603ffff,15
891fa496603ffff,30
891fa496603ffff,35
891fa4966d3ffff,5
891fa496613ffff,5
891fa4966d3ffff,5
891fa49668bffff,10
891fa496603ffff,35
891fa49660fffff,15
891fa496603ffff,50
891fa496603ffff,30
891fa496603ffff,20
891fa496603ffff,55
891fa496607ffff,70
891fa496617ffff,5
891fa49640fffff,5
891fa4964afffff,10
891fa4964bbffff,20
891fa49668fffff,10
891fa49668fffff,5
89196ba4dafffff,5
89196ba4dbbffff,15
89196ba4db3ffff,5
89196ba4dbbffff,10
89196ba4d8fffff,5
89196ba4dbbffff,15
89196ba4d13ffff,20
89196ba4dc7ffff,35
891fa4966abffff,15
89196ba696bffff,20
89196ba6ba7ffff,5
89196ba696bffff,10
89196ba6ba3ffff,20
89196ba6bb7ffff,15
89196ba6bb7ffff,15
89196ba6ba3ffff,10
89196ba6bb7ffff,10
89196ba6bb3ffff,10
891fa4964a3ffff,5
891fa4964b3ffff,20
891fa4964b3ffff,50
891fa4964a3ffff,55
891fa4964a3ffff,35
891fa496487ffff,5
891fa4964b3ffff,10
891fa4964b3ffff,20
891fa4964b3ffff,10
891fa4964b7ffff,10
891fa4964b7ffff,10
89196ba696fffff,10
891fa4964b7ffff,15
891fa496497ffff,15
89196ba694fffff,15
89196ba6943ffff,40
89196ba6943ffff,20
89196ba6947ffff,5
89196ba690bffff,5
89196ba6943ffff,5
89196ba69a3ffff,5
89196ba69bbffff,5
89196ba698fffff,5
89196ba6913ffff,30
89196ba69c7ffff,10
89196ba69c7ffff,15
89196ba69d7ffff,10
89196ba69d7ffff,5
89196ba6d6bffff,5
89196ba6d7bffff,15
89196ba6957ffff,15
89196ba6957ffff,15
89196ba6957ffff,15
89196ba6957ffff,5
89196ba6957ffff,10
89196ba691bffff,5
89196ba691bffff,5
89196ba691bffff,5
89196ba6887ffff,20
89196ba6d4bffff,10
89196ba48c7ffff,5
89196ba48c3ffff,5
89196ba48c3ffff,5
89196ba4dc7ffff,15
89196ba4dc7ffff,25
89196ba4dc3ffff,10
89196ba4dc7ffff,10
89196ba4c37ffff,30
89196ba4dcbffff,75
89196ba4dc3ffff,5
89196ba4dc3ffff,5
89196ba4c23ffff,80
89196ba4c2bffff,10
89196ba4c2bffff,15
89196ba4c23ffff,25
89196ba4c23ffff,75
89196ba4c2bffff,15
89196ba4c23ffff,25
89196ba4c23ffff,55
89196ba4c3bffff,10
89196ba4c3bffff,65
89196ba4c23ffff,15
89196ba4c37ffff,25
89196ba4c37ffff,55
89196ba4c37ffff,30
89196ba4dcbffff,30
89196ba4dc3ffff,20
89196ba4dc3ffff,10
89196ba4c23ffff,90
89196ba4c37ffff,60
89196ba4c37ffff,50
89196ba4c37ffff,35
89196ba4ddbffff,80
89196ba4ddbffff,35
89196ba4ddbffff,30
89196ba4ddbffff,30
89196ba4c33ffff,55
89196ba4c33ffff,50
89196ba4c37ffff,60
89196ba4c37ffff,85
89196ba4ddbffff,55
89196ba4ddbffff,25
89196ba4c23ffff,25
89196ba4c77ffff,60
89196ba4c3bffff,80
89196ba4c3bffff,55
89196ba4c3bffff,70
89196ba4c33ffff,20
89196ba4c0fffff,80
89196ba4c3bffff,85
89196ba4c3bffff,70
89196ba4c3bffff,95
89196ba4ddbffff,60
89196ba4ddbffff,65
89196ba4dd3ffff,30
89196ba4c33ffff,15
89196ba4c33ffff,40
89196ba4cafffff,70
89196ba4cafffff,50
89196ba4cafffff,45
89196ba4cafffff,35
89196ba4ca7ffff,75
89196ba4ca7ffff,95
89196ba4dd3ffff,90
89196ba4dd3ffff,10
89196ba4c33ffff,80
89196ba4c33ffff,40
89196ba4cafffff,25
89196ba4cafffff,25
89196ba4cafffff,20
89196ba4cafffff,30
89196ba4ca7ffff,75
89196ba4c33ffff,75
89196ba4c0fffff,15
89196ba4c07ffff,35
89196ba4c07ffff,70
89196ba4c07ffff,70
89196ba4c07ffff,65
89196ba4c07ffff,90
89196ba4c07ffff,65
89196ba4c07ffff,50
89196ba4c07ffff,65
89196ba4ca7ffff,75
89196ba4ca7ffff,75
89196ba4c07ffff,85
89196ba4cabffff,35
89196ba4cabffff,40
89196ba4cafffff,25
89196ba4cafffff,35
89196ba4ca3ffff,90
89196ba4ca7ffff,90
89196ba4ca7ffff,55
89196ba4ca7ffff,10
89196ba4cabffff,45
89196ba4cabffff,50
89196ba4cabffff,70
89196ba4cabffff,30
89196ba4ca3ffff,35
89196ba4ca3ffff,80
89196ba4ca3ffff,30
89196ba4cabffff,15
89196ba4cabffff,15
89196ba4cabffff,45
89196ba4ca3ffff,40
89196ba4ca3ffff,40
89196ba4ca3ffff,20
89196ba4c17ffff,25
89196ba4cbbffff,35
89196ba4cbbffff,30
89196ba4cbbffff,15
89196ba4ca3ffff,50
89196ba4ca3ffff,40
89196ba4c07ffff,60
89196ba4c17ffff,15
89196ba4c13ffff,10
89196ba4c8fffff,35
89196ba4c13ffff,15
89196ba4c13ffff,10
89196ba4c8fffff,55
89196ba4c13ffff,30
89196ba4c8bffff,20
89196ba4c8fffff,45
89196ba4c17ffff,25
89196ba4cbbffff,70
89196ba4cbbffff,30
89196ba4c8fffff,70
89196ba4cbbffff,40
89196ba4cbbffff,10
89196ba4c8fffff,80
89196ba4c8fffff,55
89196ba4c87ffff,15
89196ba4c87ffff,15
89196ba4cb3ffff,5
89196ba4c8fffff,65
89196ba4c8fffff,70
89196ba4c87ffff,5
89196ba6b4bffff,10
89196ba6b4bffff,10
89196ba6b4bffff,5
89196ba4c8fffff,105
89196ba4c83ffff,70
89196ba6b4bffff,15
89196ba4c8bffff,25
89196ba4c8bffff,35
89196ba4c8bffff,50
89196ba4c8bffff,15
89196ba4c8bffff,45
89196ba4c8bffff,40
89196ba4cd7ffff,10
89196ba4cd7ffff,30
89196ba4c8bffff,10
89196ba4cd7ffff,65
89196ba4c83ffff,60
89196ba4c83ffff,55
89196ba4c97ffff,5
89196ba6b4bffff,5
89196ba6b4bffff,5
89196ba4c83ffff,15
89196ba4c83ffff,10
89196ba4c97ffff,10
89196ba4c97ffff,5
89196ba6b5bffff,15
89196ba4cd7ffff,20
89196ba4c9bffff,5
89196ba6a6fffff,20
89196ba6a6fffff,5
89196ba6a6bffff,15
89196ba6a63ffff,15
89196ba6a63ffff,20
89196ba6a73ffff,5
89196ba6a7bffff,10
89196ba6a73ffff,5
89196ba6a47ffff,10
89196ba6a47ffff,10
89196ba6a47ffff,5
89196ba6a47ffff,10
89196ba6a57ffff,10
89196ba6a43ffff,10
89196ba6a57ffff,10
89196ba6a53ffff,25
89196ba6a53ffff,10
89196ba6a53ffff,15
89196ba4c97ffff,5
89196ba6b5bffff,10
89196ba6a2fffff,5
89196ba6a0fffff,5
89196ba6a07ffff,5
89196ba6e63ffff,5
89196ba45a3ffff,5
89196ba6e7bffff,10
89196ba45b3ffff,10
89196ba45b3ffff,40
89196ba4527ffff,15
89196ba4527ffff,5
89196ba4537ffff,5
89196ba4537ffff,15
89196ba4537ffff,5
89196ba4537ffff,10
89196ba45afffff,5
89196ba45afffff,20
89196ba4533ffff,5
89196ba45abffff,10
89196ba4e83ffff,10
89196ba45cfffff,5
89196ba4413ffff,5
89196ba634bffff,15
89196ba634bffff,5
89196ba4497ffff,10
89196ba623bffff,10
89196ba620fffff,5
89196ba620fffff,15
89196ba6207ffff,10
89196ba45b3ffff,40
89196ba45b3ffff,40
89196ba45b3ffff,85
89196ba45b3ffff,20
89196ba6e4fffff,10
89196ba6e4bffff,65
89196ba6e4bffff,15
89196ba6e4fffff,10
89196ba6e4bffff,15
89196ba6e4bffff,20
89196ba687bffff,5
89196ba63b7ffff,15
89196ba63b7ffff,5
89196ba614fffff,15
89196ba614fffff,10
89196ba63b3ffff,75
89196ba614fffff,90
89196ba614fffff,25
89196ba614fffff,15
89196ba610fffff,10
89196ba45abffff,10
89196ba45abffff,10
89196ba45a3ffff,10
89196ba45a3ffff,10
89196ba4583ffff,25
89196ba4593ffff,15
89196ba4593ffff,40
89196ba4593ffff,10
89196ba4593ffff,30
89196ba6363ffff,10
89196ba6e4bffff,5
89196ba6e43ffff,25
89196ba6e4bffff,15
89196ba6e4bffff,5
89196ba6e4bffff,20
89196ba6e43ffff,25
89196ba6e43ffff,15
89196ba4597ffff,20
89196ba6e43ffff,25
89196ba6e5bffff,15
89196ba6e53ffff,10
89196ba6e53ffff,30
89196ba6e57ffff,50
89196ba6ecfffff,25
89196ba6e5bffff,25
89196ba6e53ffff,60
89196ba6e53ffff,20
89196ba6e53ffff,60
89196ba6ecfffff,85
89196ba6ecfffff,70
89196ba4593ffff,5
89196ba632fffff,5
89196ba6327ffff,10
89196ba6327ffff,60
89196ba6e53ffff,10
89196ba6e53ffff,35
89196ba6e53ffff,25
89196ba6ecfffff,20
89196ba632fffff,20
89196ba632fffff,10
89196ba632fffff,45
89196ba6327ffff,25
89196ba6327ffff,60
89196ba6327ffff,40
89196ba6ecbffff,75
89196ba6ecbffff,70
89196ba632bffff,20
89196ba632bffff,20
89196ba632fffff,30
89196ba6323ffff,50
89196ba6327ffff,30
89196ba6327ffff,60
89196ba6327ffff,65
89196ba6ecbffff,10
89196ba632bffff,10
89196ba632bffff,40
89196ba6323ffff,85
89196ba6323ffff,80
89196ba6323ffff,25
89196ba4e77ffff,5
89196ba4e3bffff,5
89196ba416fffff,10
89196ba43b7ffff,5
89196ba4033ffff,5
89196ba4033ffff,10
89196ba442bffff,10
89196ba442bffff,5
89196ba4477ffff,5
89196ba440fffff,10
89196ba405bffff,10
89196ba405bffff,5
89196ba462fffff,10
89196ba462fffff,10
89196ba4623ffff,5
89196ba4623ffff,20
89196ba463bffff,15
89196ba4623ffff,10
89196ba463bffff,10
89196ba461bffff,5
89196ba46c3ffff,15
89196ba46d7ffff,15
89196ba46d7ffff,35
89196ba468bffff,20
89196ba46c3ffff,70
89196ba46d7ffff,15
89196ba46d7ffff,25
89196ba46d7ffff,50
89196ba46d7ffff,50
89196ba469bffff,15
89196ba469bffff,20
89196ba46d3ffff,60
89196ba46d3ffff,40
89196ba46d7ffff,20
89196ba46d7ffff,50
89196ba469bffff,60
89196ba469bffff,50
89196ba469bffff,20
89196ba469bffff,10
89196ba46d3ffff,60
89196ba46d3ffff,65
89196ba46d3ffff,15
89196ba716fffff,40
89196ba716fffff,65
89196ba716fffff,25
89196ba469bffff,15
89196ba7167ffff,15
89196ba46d3ffff,65
89196ba46d3ffff,85
89196ba46d3ffff,10
89196ba4693ffff,5
89196ba712fffff,65
89196ba712fffff,20
89196ba7167ffff,50
89196ba712bffff,100
89196ba712bffff,20
89196ba712bffff,70
89196ba712fffff,40
89196ba712fffff,5
89196ba7167ffff,75
89196ba716fffff,20
89196ba716fffff,15
89196ba716fffff,20
89196ba7167ffff,20
89196ba7167ffff,35
89196ba73a7ffff,60
89196ba716bffff,35
89196ba716bffff,25
89196ba716fffff,15
89196ba716fffff,20
89196ba712bffff,75
89196ba712bffff,60
89196ba712bffff,35
89196ba712bffff,80
89196ba7123ffff,25
89196ba7177ffff,20
89196ba712bffff,45
89196ba712bffff,50
89196ba712bffff,50
89196ba7123ffff,20
89196ba440fffff,15
89196ba4403ffff,10
89196ba441bffff,5
89196ba71abffff,5
89196ba6243ffff,10
89196ba6243ffff,15
89196ba7197ffff,10
89196ba7197ffff,10
89196ba7197ffff,15
89196ba624bffff,15
89196ba716fffff,65
89196ba7167ffff,30
89196ba7167ffff,45
89196ba73a7ffff,50
89196ba7163ffff,80
